Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for UK
Areal series, starting in 1919
Last updated 01-Aug-2022 10:58
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1964   39.8   60.9   64.9  116.4  174.9  147.5  161.0  165.0  151.5   94.6   54.2   41.0   142.2   356.2   473.4   300.2  1271.5
1965   59.5   41.5  118.6  148.4  148.3  158.7  120.9  157.7   91.9   98.8   68.9   45.7   142.1   415.2   437.3   259.6  1258.9
1966   29.7   39.2  108.1  102.8  204.0  141.4  161.5  158.3  119.2   79.3   51.8   35.2   114.6   414.9   461.1   250.3  1230.5
1967   50.2   71.5  131.7  127.4  151.8  207.3  166.1  143.5  107.4   88.6   59.5   49.0   156.9   410.9   516.9   255.5  1353.9
1968   34.3   74.2  105.5  167.8  148.8  189.2  136.5  151.6  107.1   56.8   44.3   31.5   157.5   422.1   477.3   208.2  1247.6
1969   31.2   64.5   80.8  177.1  134.2  230.8  187.4  145.4   99.1   88.5   64.1   29.6   127.1   392.1   563.6   251.7  1332.5
1970   29.4   94.4  111.8  133.3  165.6  231.7  136.8  155.3  115.9   84.3   51.8   42.9   153.4   410.8   523.8   251.9  1353.2
1971   33.0   60.7   87.4  122.2  210.7  141.9  211.5  128.4  151.6  113.9   67.6   27.9   136.6   420.3   481.9   333.1  1356.9
1972   36.9   44.1  121.6  134.7  144.6  148.2  169.0  162.1  120.9   91.3   61.5   36.5   108.9   400.9   479.3   273.7  1271.4
1973   31.7   74.4  125.8  147.1  157.4  192.3  146.6  164.3  127.4   88.4   69.3   42.7   142.7   430.3   503.3   285.0  1367.4
1974   41.4   55.5  100.0  167.2  180.9  190.0  150.3  164.0  122.2   78.8   51.4   37.8   139.6   448.0   504.3   252.5  1339.5
1975   35.3   70.8   97.2  123.3  207.2  246.6  180.0  196.5  125.9   95.6   64.7   36.4   143.9   427.7   623.1   286.2  1479.5
1976   42.3   48.6   99.6  144.0  151.4  207.4  223.8  240.9   95.0   65.1   62.0   47.1   127.2   394.9   672.1   222.1  1427.1
1977   45.7   62.0   81.2  150.4  217.8  166.1  185.2  157.7  103.7   89.1   70.8   35.3   154.8   449.3   509.0   263.6  1364.9
1978   47.0   57.4  104.2  112.2  193.9  160.0  135.4  122.7  120.3   80.5   59.6   29.5   139.7   410.3   418.1   260.4  1222.7
1979   51.7   65.6   89.9  120.3  169.7  163.0  150.4  144.3  142.4   89.0   56.8   43.5   146.8   379.9   457.7   288.2  1286.6
1980   49.9   43.5   81.3  162.7  223.5  141.3  130.1  125.9  112.2   93.4   52.0   40.1   136.9   467.5   397.3   257.7  1256.0
1981   41.3   66.7   73.2  149.1  144.7  143.5  136.6  167.5  131.7  101.3   46.5   38.0   148.2   367.0   447.6   279.4  1240.0
1982   45.4   53.9  132.4  160.5  206.5  149.2  171.6  144.6  121.9   64.3   50.2   36.5   137.3   499.4   465.4   236.5  1337.1
1983   39.7   70.0   72.1  134.3  115.9  159.0  210.6  190.1   96.0   91.9   42.1   39.9   146.1   322.3   559.8   229.9  1261.5
1984   53.3   53.6   60.8  201.9  181.7  181.3  213.0  180.1   97.8   87.0   43.7   43.9   146.8   444.4   574.4   228.4  1398.0
1985   47.2   76.6  103.2  121.8  160.0  162.9  156.1  138.9  109.5   94.5   66.5   31.8   167.7   385.0   457.9   270.4  1269.0
1986   46.7   74.1  113.0  126.4  170.2  193.5  145.3  129.1  150.1  100.9   63.3   41.3   152.7   409.7   467.9   314.4  1354.2
1987   45.7   62.3   97.9  138.5  181.7  115.9  145.7  140.8  142.6   94.6   46.8   29.8   149.4   418.1   402.4   284.0  1242.3
1988   46.9   87.7   89.2  128.7  190.7  170.9  130.2  151.4  125.1   87.3   76.0   33.4   164.5   408.6   452.5   288.4  1317.6
1989   52.2   82.4  100.9  131.2  243.1  211.3  244.6  189.9  117.2   79.1   75.3   28.7   168.1   475.1   645.8   271.6  1555.9
1990   46.4   66.9  113.4  186.9  225.0  121.1  239.4  174.4  127.7   84.4   57.9   37.9   142.0   525.3   534.9   270.0  1481.5
1991   59.3   59.1   80.6  147.2  146.1  132.9  167.0  183.5  160.7   74.4   48.0   35.1   156.3   374.0   483.4   283.1  1293.9
1992   46.8   59.4   70.2  110.8  234.8  193.5  142.5  150.9  102.9   84.1   50.9   36.2   141.2   415.8   486.8   238.0  1283.0
1993   32.8   42.2  105.6  112.1  161.1  160.8  145.0  160.6  103.0   96.4   54.9   36.7   111.2   378.7   466.4   254.3  1211.0
1994   51.6   59.1  104.2  153.3  168.2  181.4  191.5  153.3  109.0  100.6   41.6   45.0   147.3   425.7   526.2   251.2  1358.8
1995   43.9   66.7  132.6  156.5  191.4  206.0  207.4  251.2  120.3  104.4   58.3   40.8   155.6   480.5   664.6   283.0  1579.5
1996   21.4   82.7   63.0  120.5  177.4  220.1  191.6  163.5  138.7   91.6   75.6   43.6   144.8   361.0   575.2   305.9  1389.7
1997   41.8   63.0  113.9  140.7  211.8  137.8  194.4  179.6  146.7  114.1   41.0   35.3   148.4   466.3   511.7   301.8  1420.0
1998   44.7   70.0   71.2  126.9  187.1  140.0  133.3  172.7  114.6   97.3   65.8   34.4   150.1   385.1   446.0   277.7  1258.0
1999   50.1   75.3  105.8  146.9  158.3  167.1  207.0  149.6  134.6  102.3   61.4   48.3   159.9   411.0   523.7   298.3  1406.7
